#id	name	altIDs	elementtype	features	cellularLocation	evidence
pid_103439	MCAK	UniProt:Q99661	protein	[O-phospho-L-serine]@108;[O-phospho-L-serine]@186;[O-phospho-L-serine]@92;inactivating-residue-modification	chromosome-centromeric-region	None
pid_103484	Vimentin	UniProt:P08670	protein	[O-phospho-L-serine]@72	cleavage-furrow	None
pid_103512	MKLP2	UniProt:O95235	protein	None	spindle	None
pid_103530	Stathmin	UniProt:P16949	protein	None	None	None
pid_103533	Stathmin	UniProt:P16949	protein	[O-phospho-L-serine]@16	None	None
pid_103538	Aurora-B	UniProt:Q96GD4	protein	None	chromatin	None
pid_103544	Aurora-C	UniProt:Q9UQB9	protein	activating-residue-modification	None	None
pid_103546	Aurora-B	UniProt:Q96GD4	protein	activating-residue-modification	None	None
pid_103559	HP1-alpha	UniProt:P45973	protein	None	heterochromatin	None
pid_103567	Histone-H3	UniProt:Q66I33	protein	[O-phospho-L-serine]@10;[O-phospho-L-serine]@28	None	None
pid_103582	Hec1	UniProt:O14777	protein	None	kinetochore	None
pid_103585	Hec1	UniProt:O14777	protein	[O-phospho-L-serine]@null	kinetochore	None
pid_103601	Desmin	UniProt:P17661	protein	None	None	None
pid_103610	PP1-gamma	UniProt:P36873	protein	None	chromatin	None
pid_103613	Aurora-B	UniProt:Q96GD4	protein	inactivating-residue-modification	None	None
pid_103615	PP1-gamma	UniProt:P36873	protein	None	None	None
pid_103647	Histone-H3	UniProt:Q66I33	protein	None	None	None
pid_104458	DAG	None	small-molecule	None	growth-cone	None
pid_104459	2-AG	None	small-molecule	None	growth-cone	None
pid_104465	DAGLA-DAGLB	None	protein	activating-residue-modification	growth-cone	None
pid_104483	GLUR2	UniProt:P42262	protein	None	None	None
pid_104486	GLUR2	UniProt:P42262	protein	None	dendritic-spine	None
pid_104523	PTP1B	UniProt:P18031	protein	[O4'-phospho-L-tyrosine]@152;activating-residue-modification	cell-cell-junction	None
pid_104530	PI-4-5-P2	None	small-molecule	None	growth-cone	None
pid_104535	PLCgamma1	UniProt:P19174	protein	[O4'-phospho-L-tyrosine]@1253;[O4'-phospho-L-tyrosine]@771;[O4'-phospho-L-tyrosine]@783;activating-residue-modification	growth-cone	None
pid_104554	Gelsolin;gelsolin	UniProt:P06396	protein	activating-residue-modification	cell-cell-junction	None
pid_104558	Ca2+	None	small-molecule	None	cell-cell-junction	None
pid_104578	Cortactin	UniProt:Q14247	protein	[O4'-phospho-L-tyrosine]@421	cytoplasm	None
pid_104615	PIP5K1C	UniProt:O60331	protein	activating-residue-modification	cell-cell-junction	None
pid_104622	FGFR1	UniProt:P11362	protein	activating-residue-modification	growth-cone	None
pid_104627	CaMK;CAMK	UniProt:Q13555	protein	inactivating-residue-modification	None	None
pid_104635	Fer	UniProt:P16591	protein	[O4'-phospho-L-tyrosine]@714;activating-residue-modification	cell-cell-junction	None
pid_104642	SHP2	UniProt:Q06124	protein	activating-residue-modification	None	None
pid_104647	Fer	UniProt:P16591	protein	activating-residue-modification	None	None
pid_104673	PIP5K1C	UniProt:O60331	protein	None	cell-cell-junction	None
pid_104709	Cannabinoid-receptor-1	UniProt:P21554	protein	None	growth-cone	None
pid_104712	Cannabinoid-receptor-1	UniProt:P21554	protein	activating-residue-modification	growth-cone	None
pid_104725	Connexin-43	UniProt:P17302	protein	None	cell-cell-junction	None
pid_104731	Connexin-43	UniProt:P17302	protein	None	None	None
pid_104739	Dynactin-1	UniProt:Q14203	protein	None	None	None
pid_104743	EB1	UniProt:Q15691	protein	None	None	None
pid_104764	PIP5K1C	UniProt:O60331	protein	None	integral-to-membrane	None
pid_104814	Ca2+	None	small-molecule	None	growth-cone	None
pid_104824	GAP43	UniProt:P17677	protein	None	None	None
pid_104829	GAP43	UniProt:P17677	protein	[O-phospho-L-serine]@41	None	None
pid_104903	KIF5B	UniProt:P33176	protein	activating-residue-modification	None	None
pid_105730	TIRAP	UniProt:P58753	protein	None	None	None
pid_105732	TLR4	UniProt:O00206	protein	None	None	None
pid_105734	MD2	UniProt:Q9Y6Y9	protein	None	None	None
pid_105736	HMGB1	UniProt:P09429	protein	None	None	None
pid_105756	TLR2	UniProt:O60603	protein	None	None	None
pid_105758	TLR1	UniProt:Q15399	protein	None	None	None
pid_105771	BGN	UniProt:P21810	protein	None	None	None
pid_105809	SAA1	UniProt:P02735	protein	None	None	None
pid_105820	BGN	UniProt:P21810	protein	None	extracellular-matrix	None
pid_105838	CD14	UniProt:P08571	protein	None	integral-to-membrane	None
pid_105842	TLR3	UniProt:O15455	protein	None	integral-to-membrane	None
pid_105845	TLR3	UniProt:O15455	protein	None	None	None
pid_105866	HMGB1	UniProt:P09429	protein	None	integral-to-membrane	None
pid_105927	VCAN	UniProt:P13611	protein	None	None	None
pid_105937	VCAN	UniProt:P13611	protein	None	extracellular-matrix	None
pid_105938	TLR2	UniProt:O60603	protein	None	integral-to-membrane	None
pid_105939	TLR6	UniProt:Q9Y2C9	protein	None	integral-to-membrane	None
pid_105983	S100A8	UniProt:P05109	protein	None	None	None
pid_105986	S100A9	UniProt:P06702	protein	None	None	None
pid_106018	SFTPA1	UniProt:Q8IWL2	protein	None	extracellular-region	None
pid_106019	TLR4	UniProt:O00206	protein	None	integral-to-membrane	None
pid_106033	TLR6	UniProt:Q9Y2C9	protein	None	None	None
pid_106045	TLR1	UniProt:Q15399	protein	None	integral-to-membrane	None
pid_106063	SAA1	UniProt:P02735	protein	None	extracellular-region	None
pid_106073	NEMO	UniProt:Q9Y6K9	protein	[O-phospho-L-serine]@85;[ubiquitinylated-lysine]@277;[ubiquitinylated-lysine]@308	None	None
pid_106087	IRAK2	UniProt:O43187	protein	None	None	None
pid_106116	HSP60	UniProt:P10809	protein	None	extracellular-region	None
pid_106186	IRAK	UniProt:P51617	protein	[phosphorylated-residue]@null	None	None
pid_106213	TRIF	UniProt:Q8IUC6	protein	None	None	None
pid_106274	ARF5	UniProt:P84085	protein	None	None	None
pid_106289	GRP1	UniProt:O43739	protein	activating-residue-modification	integral-to-membrane	None
pid_106293	TAPP1-2	None	protein	None	cytoplasm	None
pid_106301	TAPP1-2	None	protein	None	plasma-membrane	None
pid_106322	SGK1	UniProt:O00141	protein	None	cytoplasm	None
pid_106323	SGK1	UniProt:O00141	protein	[O-phospho-L-serine]@422;[O-phospho-L-threonine]@256;activating-residue-modification	cytoplasm	None
pid_106331	BTK-ITK	None	protein	None	plasma-membrane	None
pid_106334	BLNK-LAT-active	None	protein	activating-residue-modification	None	None
pid_106338	Syk-Family-Kinases-active;SYK-Family-Kinases-active	None	protein	activating-residue-modification	None	None
pid_106350	BTK-ITK-active	None	protein	activating-residue-modification	None	None
pid_106377	PLC-gamma-family-active	None	protein	activating-residue-modification	None	None
pid_106405	GRP1-family	None	protein	activating-residue-modification	integral-to-membrane	None
pid_106414	IP4	None	small-molecule	None	None	None
pid_106425	SHIP1-2	None	protein	activating-residue-modification	plasma-membrane	None
pid_106442	FOXO3a;FOXO3A	UniProt:O43524	protein	[O-phospho-L-serine]@315;[O-phospho-L-threonine]@32;inactivating-residue-modification	nucleus	None
pid_106449	ARNO	UniProt:Q99418	protein	activating-residue-modification	integral-to-membrane	None
pid_106457	ARAP3	UniProt:Q8WWN8	protein	None	integral-to-membrane	None
pid_106463	BTK-ITK	None	protein	None	cytoplasm	None
pid_106476	CENTA1	UniProt:O75689	protein	None	plasma-membrane	None
pid_106497	ARAP3	UniProt:Q8WWN8	protein	None	None	None
pid_106512	FOXO3a;FOXO3A	UniProt:O43524	protein	activating-residue-modification	nucleus	None
pid_106521	ARAP3	UniProt:Q8WWN8	protein	None	cytoplasm	None
pid_106546	Rac-GEFs	None	protein	activating-residue-modification	None	None
pid_106551	GRP1-family	None	protein	None	cytoplasm	None
pid_106887	Vitronectin	UniProt:P04004	protein	None	extracellular-region	None
pid_106906	CD81	UniProt:P60033	protein	None	None	None
pid_106942	Laminin-alpha2	UniProt:P24043	protein	None	None	None
pid_106944	Laminin-gamma1	UniProt:P11047	protein	None	None	None
pid_106946	Laminin-beta2	UniProt:P55268	protein	None	None	None
pid_106965	Entactin	UniProt:P14543	protein	None	extracellular-matrix	None
pid_106969	Entactin	UniProt:P14543	protein	None	None	None
pid_106981	beta1D-Integrin	UniProt:P05556	protein	None	None	None
pid_106987	Laminin-beta1	UniProt:P07942	protein	None	None	None
pid_107005	CD14	UniProt:P08571	protein	None	None	None
pid_107018	TSP2	UniProt:P35442	protein	None	None	None
pid_107040	Laminin-alpha5	UniProt:O15230	protein	None	None	None
pid_107061	nephronectin	UniProt:Q6UXI9	protein	None	None	None
pid_107199	CSPG4	UniProt:Q6UVK1	protein	None	integral-to-membrane	None
pid_107203	CSPG4	UniProt:Q6UVK1	protein	None	None	None
pid_107213	SCO-spondin	None	protein	None	None	None
pid_107344	Laminin-gamma2	UniProt:Q13753	protein	None	None	None
pid_107347	Laminin-beta3	UniProt:Q13751	protein	None	None	None
pid_107392	JAM-B	UniProt:P57087	protein	None	None	None
pid_107441	Vitronectin	UniProt:P04004	protein	None	extracellular-matrix	None
pid_107637	VEGF189	UniProt:P15692	protein	None	None	None
pid_107661	Laminin-alpha4	UniProt:Q16363	protein	None	None	None
pid_107695	Fibrillin-1	UniProt:P35555	protein	None	extracellular-matrix	None
pid_107698	Fibrillin-1	UniProt:P35555	protein	None	None	None
pid_107743	EWI2	UniProt:Q969P0	protein	None	None	None
pid_107768	TGFI	UniProt:Q15582	protein	None	None	None
pid_107929	COL18A1	UniProt:P39060	protein	None	extracellular-region	None
pid_108807	VEGFR3	UniProt:P35916	protein	None	plasma-membrane	None
pid_108809	VEGFC-D	None	protein	None	None	None
pid_108812	VEGFR3	UniProt:P35916	protein	[O4'-phospho-L-tyrosine]@1063;[O4'-phospho-L-tyrosine]@1068;[O4'-phospho-L-tyrosine]@1230;[O4'-phospho-L-tyrosine]@1231;[O4'-phospho-L-tyrosine]@1333;[O4'-phospho-L-tyrosine]@1337;[O4'-phospho-L-tyrosine]@1363	None	None
pid_108839	VEGFR3	UniProt:P35916	protein	[O4'-phospho-L-tyrosine]@1063;[O4'-phospho-L-tyrosine]@1068;[O4'-phospho-L-tyrosine]@1230;[O4'-phospho-L-tyrosine]@1231;[O4'-phospho-L-tyrosine]@1265;[O4'-phospho-L-tyrosine]@1333;[O4'-phospho-L-tyrosine]@1337;[O4'-phospho-L-tyrosine]@1363	None	None
pid_108852	p90S6K	UniProt:Q15418	protein	[O-phospho-L-serine]@380;activating-residue-modification	None	None
pid_108862	p38alpha-beta-active	None	protein	activating-residue-modification	None	None
pid_108883	VEGFR3	UniProt:P35916	protein	[O4'-phospho-L-tyrosine]@1063;[O4'-phospho-L-tyrosine]@1068;activating-residue-modification	None	None
pid_108897	VEGFR3	UniProt:P35916	protein	[O4'-phospho-L-tyrosine]@1063;[O4'-phospho-L-tyrosine]@1068	None	None
pid_108917	VEGFR3	UniProt:P35916	protein	[O4'-phospho-L-tyrosine]@1063;[O4'-phospho-L-tyrosine]@1068;[O4'-phospho-L-tyrosine]@1230;[O4'-phospho-L-tyrosine]@1231;[O4'-phospho-L-tyrosine]@1333;[O4'-phospho-L-tyrosine]@1337;[O4'-phospho-L-tyrosine]@1363;[palmitoylated-residue-[residue=Y]]@1265	None	None
pid_108941	p52-SHC	UniProt:P29353	protein	[O4'-phospho-L-tyrosine]@239;[O4'-phospho-L-tyrosine]@240;[O4'-phospho-L-tyrosine]@313	None	None
pid_108971	MKK4	UniProt:P45985	protein	activating-residue-modification	cytoplasm	None
pid_109437	Ephrin-B	None	protein	None	None	None
pid_109442	EphB2;EPHB2	UniProt:P29323	protein	[O4'-phospho-L-tyrosine]@596;[O4'-phospho-L-tyrosine]@602	None	None
pid_109445	Intersectin	UniProt:Q15811	protein	None	None	None
pid_109482	EPHB1	UniProt:P54762	protein	[O4'-phospho-L-tyrosine]@594;[O4'-phospho-L-tyrosine]@928	None	None
pid_109491	p52-SHC	UniProt:P29353	protein	[O4'-phospho-L-tyrosine]@null	None	None
pid_109520	CRK-I	UniProt:P46108	protein	activating-residue-modification	cell-leading-edge	None
pid_109543	EphB2;EPHB2	UniProt:P29323	protein	[O4'-phospho-L-tyrosine]@null	None	None
pid_109551	KALRN	UniProt:O60229	protein	None	None	None
pid_109566	RRas;RRAS	UniProt:P10301	protein	[O4'-phospho-L-tyrosine]@66;inactivating-residue-modification	None	None
pid_109611	PAK1	UniProt:Q13153	protein	None	dendritic-spine	None
pid_109612	PAK1	UniProt:Q13153	protein	[phosphorylated-residue]@null	dendritic-spine	None
pid_109619	EphB2;EPHB2	UniProt:P29323	protein	None	integral-to-membrane	None
pid_109644	Ephrin-B	None	protein	None	integral-to-membrane	None
pid_109660	MAP4K4	UniProt:O95819	protein	activating-residue-modification	None	None
pid_109669	EPHB1	UniProt:P54762	protein	None	integral-to-membrane	None
pid_109683	TF	UniProt:P02787	protein	None	extracellular-region	None
pid_109684	TF	UniProt:P02787	protein	None	cytoplasm	None
pid_109688	SYNJ1	UniProt:O43426	protein	[O4'-phospho-L-tyrosine]@1191;inactivating-residue-modification	None	None
pid_109716	Endophilin	None	protein	None	None	None
pid_109735	EPHB3	UniProt:P54753	protein	None	integral-to-membrane	None
pid_109739	EPHB3	UniProt:P54753	protein	[O4'-phospho-L-tyrosine]@null	None	None
pid_109792	EPHB3	UniProt:P54753	protein	None	None	None
pid_109797	EPHB1	UniProt:P54762	protein	[O4'-phospho-L-tyrosine]@594;[O4'-phospho-L-tyrosine]@928	integral-to-membrane	None
pid_109798	Ephrin-B1	UniProt:P98172	protein	[O4'-phospho-L-tyrosine]@null	integral-to-membrane	None
pid_109833	MEK1	UniProt:Q02750	protein	[O-phospho-L-serine]@217;[O-phospho-L-serine]@221;activating-residue-modification	None	None
pid_109838	CRK-I	UniProt:P46108	protein	None	focal-adhesion	None
pid_109881	HIF2A	UniProt:Q99814	protein	activating-residue-modification	None	None
pid_109896	HIF2A	UniProt:Q99814	protein	None	None	None
pid_109904	OCT4	UniProt:Q01860	protein	None	None	None
pid_109913	HIF2A	UniProt:Q99814	protein	[hydroxylated-proline]@531	cytoplasm	None
pid_109918	VHL	UniProt:P40337	protein	None	None	None
pid_109921	TCEB1	UniProt:Q15369	protein	None	None	None
pid_109923	TCEB2	UniProt:Q15370	protein	None	None	None
pid_109929	HIF2A	UniProt:Q99814	protein	[hydroxylated-proline]@531;[ubiquitination]@null	None	None
pid_109945	HIF2A	UniProt:Q99814	protein	[O-phospho-L-threonine]@840	None	None
pid_109950	HIF2A	UniProt:Q99814	protein	[hydroxylated-residue-[residue=N]]@847	cytoplasm	None
pid_109966	HIF2A	UniProt:Q99814	protein	[N-acetylated-L-lysine]@385;[N-acetylated-L-lysine]@685;[N-acetylated-L-lysine]@741	cytoplasm	None
pid_109971	ARNT	UniProt:P27540	protein	None	nucleus	None
pid_109973	HIF2A	UniProt:Q99814	protein	[N-acetylated-L-lysine]@385;[N-acetylated-L-lysine]@685;[N-acetylated-L-lysine]@741	None	None
pid_110013	HIF2A	UniProt:Q99814	protein	[hydroxylated-proline]@531;[N-acetylated-L-lysine]@385;[N-acetylated-L-lysine]@685;[N-acetylated-L-lysine]@741	cytoplasm	None
pid_110015	HIF2A	UniProt:Q99814	protein	[hydroxylated-proline]@531;[N-acetylated-L-lysine]@385;[N-acetylated-L-lysine]@685;[N-acetylated-L-lysine]@741;[ubiquitination]@null	None	None
pid_110026	FXN	UniProt:Q16595	protein	None	None	None
pid_110035	HIF2A	UniProt:Q99814	protein	None	cytoplasm	None
pid_110042	PHD1-3	None	protein	None	None	None
pid_110058	MT1-MMP	UniProt:P50281	protein	None	None	None
pid_110099	REF1	UniProt:P27695	protein	None	None	None
pid_110120	INT6	UniProt:P60228	protein	None	None	None
pid_110127	DMT1	UniProt:P49281	protein	None	None	None
pid_110135	ADORA2A	UniProt:P29274	protein	None	None	None
pid_110149	FIH	UniProt:Q9NWT6	protein	None	None	None
pid_110162	TWIST1	UniProt:Q15672	protein	None	None	None
pid_110230	CPI17	UniProt:Q96A00	protein	None	None	None
pid_110233	CPI17	UniProt:Q96A00	protein	[O-phospho-L-threonine]@38;activating-residue-modification	None	None
pid_110239	ILK	UniProt:Q13418	protein	[phosphorylated-residue]@null;activating-residue-modification	None	None
pid_110248	ILK	UniProt:Q13418	protein	None	nucleus	None
pid_110259	alpha-parvin	UniProt:Q9NVD7	protein	None	None	None
pid_110261	PINCH1	UniProt:P48059	protein	None	None	None
pid_110282	AKT1;Akt1	UniProt:P31749	protein	[O-phospho-L-serine]@473;activating-residue-modification	None	None
pid_110298	LC20	UniProt:P24844	protein	None	None	None
pid_110301	LC20	UniProt:P24844	protein	[O-phospho-L-serine]@20	None	None
pid_110311	ILK	UniProt:Q13418	protein	None	cytoplasm	None
pid_110321	TACC3	UniProt:Q9Y6A5	protein	[O-phospho-L-serine]@558	None	None
pid_110329	LEF1	None	protein	None	None	None
pid_110340	KEPI	UniProt:Q8TAE6	protein	None	None	None
pid_110343	KEPI	UniProt:Q8TAE6	protein	[phosphorylated-residue]@null;activating-residue-modification	None	None
pid_110367	ZEB1	UniProt:P37275	protein	None	None	None
pid_110375	tensin	UniProt:Q9HBL0	protein	None	None	None
pid_110398	ELMO2	UniProt:Q96JJ3	protein	None	None	None
pid_110427	IQGAP1	UniProt:P46940	protein	activating-residue-modification	cell-cortex	None
pid_110436	beta-parvin	UniProt:Q9HBI1	protein	None	None	None
pid_110454	Mn2+	None	small-molecule	None	None	None
pid_110482	alphaNAC	UniProt:Q13765	protein	[O-phospho-L-serine]@43	None	None
pid_110486	alphaNAC	UniProt:Q13765	protein	[O-phospho-L-serine]@43	nucleus	None
pid_110497	ILK	UniProt:Q13418	protein	None	centrosome	None
pid_110501	PINCH2	UniProt:Q7Z4I7	protein	None	None	None
pid_110539	gamma-parvin	UniProt:Q9HBI0	protein	None	None	None
pid_110552	PHI1	UniProt:Q96C90	protein	None	None	None
pid_110555	PHI1	UniProt:Q96C90	protein	[O-phospho-L-threonine]@57;activating-residue-modification	None	None
pid_110574	CREB1	UniProt:P16220	protein	activating-residue-modification	None	None
pid_110583	Gsk3beta;GSK3beta	UniProt:P49841	protein	activating-residue-modification	None	None
pid_110613	Paxillin;paxillin	UniProt:P49023	protein	None	focal-adhesion	None
