#id	name	features	celularLocation	elements	stoichiometry	evidence
pid_107456	alpha7X1/beta1-Integrin/Laminin-2	None	None	pid_106942;pid_106944;pid_106987;pid_12886;pid_60140	pid_106942:1.0;pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_60140:1.0	None
pid_107467	alpha3/beta1-Integrin/Laminin-11	None	integral-to-membrane	pid_106944;pid_106946;pid_107040;pid_12886;pid_12889	pid_106944:1.0;pid_106946:1.0;pid_107040:1.0;pid_12886:1.0;pid_12889:1.0	None
pid_107479	alpha8/beta1-Integrin/Fibronectin	None	integral-to-membrane	pid_12886;pid_24776;pid_60222	pid_12886:1.0;pid_24776:2.0;pid_60222:1.0	None
pid_107488	alpha3/beta1-Integrin/Laminin-10	None	integral-to-membrane	pid_106944;pid_106987;pid_107040;pid_12886;pid_12889	pid_106944:1.0;pid_106987:1.0;pid_107040:1.0;pid_12886:1.0;pid_12889:1.0	None
pid_107499	Type-V-Collagen	None	extracellular-region	pid_96558;pid_96561	pid_96558:2.0;pid_96561:1.0	None
pid_107502	alpha1/beta1-Integrin/Type-V-Collagen	None	integral-to-membrane	pid_12886;pid_40058;pid_96558;pid_96561	pid_12886:1.0;pid_40058:1.0;pid_96558:2.0;pid_96561:1.0	None
pid_107513	alpha4/beta1-Integrin/Fibronectin;Fibronectin/alpha4/beta1-Integrin	None	integral-to-membrane	pid_12886;pid_24776;pid_60132	pid_12886:1.0;pid_24776:2.0;pid_60132:1.0	None
pid_107524	alpha4/beta1-Integrin/vWF	None	integral-to-membrane	pid_12886;pid_58096;pid_60132	pid_12886:1.0;pid_58096:1.0;pid_60132:1.0	None
pid_107533	alpha7X2/beta1-Integrin/Laminin-1	None	None	pid_106944;pid_106987;pid_12886;pid_24840;pid_60214	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_24840:1.0;pid_60214:1.0	None
pid_107544	alpha1/beta1-Integrin/Type-II-Collagen	None	integral-to-membrane	pid_12886;pid_40058;pid_96533	pid_12886:1.0;pid_40058:1.0;pid_96533:3.0	None
