#id	E	F	R	interactionType	E&Fstoichiometry	spontaneous	conversiondirection	evidence	xref
pid_102230	pid_102231	pid_102180;pid_102233	pid_102240;pid_102242	BiochemicalReaction	pid_102180:1.0;pid_102231:1.0;pid_102233:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12869501;Pubmed:9618465;Pubmed:9716134
pid_102286	pid_7523	pid_102287	pid_102291	BiochemicalReaction	pid_102287:1.0;pid_7523:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9822687
pid_102295	pid_102296	pid_102299	pid_102306	BiochemicalReaction	pid_102296:1.0;pid_102299:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9628874
pid_102315	pid_7422	pid_102316	pid_102321	BiochemicalReaction	pid_102316:1.0;pid_7422:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12138194
pid_102325	pid_52344	pid_102326	pid_102329	BiochemicalReaction	pid_102326:1.0;pid_52344:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:7535770;Pubmed:7737130;Pubmed:7839144
pid_102334	pid_102334	pid_102335	None	TemplateReaction(Transcription)	None	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:7737130
pid_102345	pid_102346	pid_102349	pid_102354	BiochemicalReaction	pid_102346:1.0;pid_102349:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10362538
pid_102357	pid_13890;pid_48245	pid_102358	None	ComplexAssembly	pid_102358:1.0;pid_13890:1.0;pid_48245:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:14612426
pid_102371	pid_82170	pid_102372	pid_102375	BiochemicalReaction	pid_102372:1.0;pid_82170:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11909979;Pubmed:9687510;Pubmed:9792677
pid_102390	pid_102391	pid_102394	pid_102400	BiochemicalReaction	pid_102391:1.0;pid_102394:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:9130707
pid_102405	pid_13890;pid_71723	pid_102406	None	ComplexAssembly	pid_102406:1.0;pid_13890:1.0;pid_71723:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10581204;Pubmed:7750577;Pubmed:7923353;Pubmed:7923354
pid_102425	pid_102426;pid_13890	pid_102429	None	ComplexAssembly	pid_102426:1.0;pid_102429:1.0;pid_13890:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:8626550
pid_102445	pid_102446	pid_102448	pid_102456	BiochemicalReaction	pid_102446:1.0;pid_102448:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:11741533
pid_102461	pid_102462;pid_13890	pid_102465	None	ComplexAssembly	pid_102462:1.0;pid_102465:1.0;pid_13890:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:9155017;Pubmed:9155018
pid_102480	pid_102480	pid_55845	None	TemplateReaction(Transcription)	None	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:9647257
pid_102485	pid_102429	None	None	ComplexAssembly	pid_102429:1.0	true	None	None	None
pid_102487	pid_102488;pid_102493	pid_102496	None	ComplexAssembly	pid_102488:1.0;pid_102493:1.0;pid_102496:1.0	true	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11239470
pid_102507	pid_5503	pid_102508	pid_102513	BiochemicalReaction	pid_102508:1.0;pid_5503:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:9155017
pid_102515	pid_102516	pid_102518	pid_102524	BiochemicalReaction	pid_102516:1.0;pid_102518:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10978317;Pubmed:8910365;Pubmed:9468497
pid_102530	pid_102531	pid_102376	pid_102534	BiochemicalReaction	pid_102376:1.0;pid_102531:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:9687510;Pubmed:9792677;Pubmed:9873047
pid_102539	pid_6610	pid_102540	pid_102543	BiochemicalReaction	pid_102540:1.0;pid_6610:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10212189
pid_102547	pid_102326;pid_102548	pid_102338	None	ComplexAssembly	pid_102326:1.0;pid_102338:1.0;pid_102548:1.0	true	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:7737130
pid_102554	pid_13890;pid_74216	pid_102555	None	ComplexAssembly	pid_102555:1.0;pid_13890:1.0;pid_74216:1.0	true	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:10747897
pid_102565	pid_102406	None	None	ComplexAssembly	pid_102406:1.0	true	None	None	None
pid_102567	pid_102568	pid_102571	pid_102576	BiochemicalReaction	pid_102568:1.0;pid_102571:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11532965
pid_102580	pid_102581	pid_102307	pid_102584	BiochemicalReaction	pid_102307:1.0;pid_102581:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9628874
pid_102586	pid_102587	pid_102590	pid_102595	BiochemicalReaction	pid_102587:1.0;pid_102590:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10362538
pid_102597	pid_102598	pid_102488	pid_102601	BiochemicalReaction	pid_102488:1.0;pid_102598:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11239470
pid_102603	pid_5627	pid_102604	pid_102609	BiochemicalReaction	pid_102604:1.0;pid_5627:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11777913
pid_102613	pid_102614	pid_102616	pid_102621	BiochemicalReaction	pid_102614:1.0;pid_102616:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:9685422
pid_102626	pid_6610	pid_102540	pid_102629	BiochemicalReaction	pid_102540:1.0;pid_6610:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10747897
pid_102631	pid_102631	pid_74638	None	TemplateReaction(Transcription)	None	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9582321
pid_102635	pid_82065	pid_102636	pid_102642	BiochemicalReaction	pid_102636:1.0;pid_82065:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:8650547
pid_102645	pid_102646	pid_102647	pid_102655	BiochemicalReaction	pid_102646:1.0;pid_102647:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9069290;Pubmed:9858528
pid_102658	pid_52370	pid_102659	pid_102668	BiochemicalReaction	pid_102659:1.0;pid_52370:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11604491;Pubmed:9776729
pid_102673	pid_99178	pid_102674	pid_102679	BiochemicalReaction	pid_102674:1.0;pid_99178:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11792706
pid_102683	pid_102684	pid_102686	pid_102690	BiochemicalReaction	pid_102684:1.0;pid_102686:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11909979;Pubmed:9687510
pid_102693	pid_102694	pid_102697	pid_102703	BiochemicalReaction	pid_102694:1.0;pid_102697:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9858528
pid_103107	pid_103108	pid_103119	pid_103130;pid_103131	BiochemicalReaction	pid_103108:1.0;pid_103119:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12689593;Pubmed:15796717;Pubmed:15854913
pid_103162	pid_103163;pid_83366	pid_103167	None	ComplexAssembly	pid_103163:1.0;pid_103167:1.0;pid_83366:1.0	true	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:11976319
pid_103176	pid_103177	pid_103184;pid_38673;pid_83263	pid_103191;pid_103192	ComplexAssembly	pid_103177:1.0;pid_103184:1.0;pid_38673:1.0;pid_83263:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103197	pid_27974	pid_30778	pid_103200	BiochemicalReaction	pid_27974:1.0;pid_30778:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12689593
pid_103217	pid_86642;pid_9236	pid_103163	None	ComplexAssembly	pid_103163:1.0;pid_86642:1.0;pid_9236:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:11976319
pid_103223	pid_103224	pid_103226	pid_103230;pid_103231	BiochemicalReaction	pid_103224:1.0;pid_103226:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:15350530
pid_103234	pid_103235;pid_103238	pid_103239	pid_103250	ComplexAssembly	pid_103235:1.0;pid_103238:1.0;pid_103239:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-physical-interaction:ECO:0000021	Pubmed:16179162
pid_103255	pid_103256	pid_103263	None	Transport	pid_103256:1.0;pid_103263:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11516652;Pubmed:11756469;Pubmed:12419797;Pubmed:12925766;Pubmed:14667408;Pubmed:15249581;Pubmed:16916643;Pubmed:17457057;Pubmed:17483322
pid_103286	pid_103287;pid_103288;pid_83366;pid_86642	pid_103289	None	ComplexAssembly	pid_103287:1.0;pid_103288:1.0;pid_103289:1.0;pid_83366:1.0;pid_86642:1.0	true	None	inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11516652;Pubmed:12419797;Pubmed:12925766;Pubmed:14722118;Pubmed:15249581;Pubmed:15260989;Pubmed:17457057;Pubmed:17483322
pid_103317	pid_103318	pid_103339	pid_103353;pid_103354	BiochemicalReaction	pid_103318:1.0;pid_103339:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17356064
pid_103357	pid_103310;pid_103358	pid_103307	None	ComplexAssembly	pid_103307:1.0;pid_103310:1.0;pid_103358:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:14674694
pid_103378	pid_103379;pid_83366;pid_86642	pid_103382	pid_103390	ComplexAssembly	pid_103379:1.0;pid_103382:1.0;pid_83366:1.0;pid_86642:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:17322402
pid_103394	pid_103132;pid_103395	pid_103398	pid_103410	ComplexAssembly	pid_103132:1.0;pid_103395:1.0;pid_103398:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16764853
pid_103415	pid_103289;pid_103416	pid_103420	None	ComplexAssembly	pid_103289:1.0;pid_103416:1.0;pid_103420:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17543862
pid_103435	pid_103436	pid_103439	pid_103449;pid_103450	BiochemicalReaction	pid_103436:1.0;pid_103439:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14960279;Pubmed:15064354
pid_103456	pid_103177	pid_103184;pid_38673;pid_83263	pid_103461;pid_103462	ComplexAssembly	pid_103177:1.0;pid_103184:1.0;pid_38673:1.0;pid_83263:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103466	pid_90869	pid_90839	pid_103469;pid_103470	BiochemicalReaction	pid_90839:1.0;pid_90869:1.0	null	None	None	Pubmed:11756469
pid_103471	pid_86642;pid_90978	pid_103472	pid_103478	ComplexAssembly	pid_103472:1.0;pid_86642:1.0;pid_90978:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:15064709
pid_103483	pid_97838	pid_103484	pid_103488;pid_103489	BiochemicalReaction	pid_103484:1.0;pid_97838:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:12458200
pid_103492	pid_103493	pid_103358	None	Transport	pid_103358:1.0;pid_103493:1.0	true	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17543862
pid_103507	pid_103263	pid_103132	None	Transport	pid_103132:1.0;pid_103263:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14605209;Pubmed:15263015
pid_103519	pid_103256	pid_103263	None	Transport	pid_103256:1.0;pid_103263:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17389228
pid_103529	pid_103530	pid_103533	pid_103537	BiochemicalReaction	pid_103530:1.0;pid_103533:1.0	null	None	inferred-from-sequence-orthology:ECO:00000060	Pubmed:16537398;Pubmed:17199039
pid_103542	pid_103543	None	None	ComplexAssembly	pid_103543:1.0	true	None	None	None
pid_103552	pid_90839	pid_90842	pid_103555	BiochemicalReaction	pid_90839:1.0;pid_90842:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11756469;Pubmed:14667408
pid_103558	pid_103559	pid_95350	pid_103564;pid_103565;pid_103566	BiochemicalReaction	pid_103559:1.0;pid_95350:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16222244;Pubmed:16222246;Pubmed:16687578
pid_103577	pid_103289	pid_103256	None	Transport	pid_103256:1.0;pid_103289:1.0	true	None	None	None
pid_103581	pid_103582	pid_103585	pid_103589	BiochemicalReaction	pid_103582:1.0;pid_103585:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17129782;Pubmed:17129783
pid_103593	pid_90869	pid_90839	pid_103596	BiochemicalReaction	pid_90839:1.0;pid_90869:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11756469;Pubmed:14667408
pid_103600	pid_103601	pid_103207	pid_103604;pid_103605	BiochemicalReaction	pid_103207:1.0;pid_103601:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12686604
pid_103609	pid_103610;pid_66956;pid_86642	pid_103612;pid_103618	None	ComplexAssembly	pid_103610:1.0;pid_103612:1.0;pid_103618:1.0;pid_66956:1.0;pid_86642:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11350965;Pubmed:12082625
pid_103630	pid_103287;pid_86632;pid_86642	pid_103543	pid_103635	ComplexAssembly	pid_103287:1.0;pid_103543:1.0;pid_86632:1.0;pid_86642:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-physical-interaction:ECO:0000021	Pubmed:15316025;Pubmed:15499654
pid_103641	pid_103420	pid_103493	pid_103644	BiochemicalReaction	pid_103420:1.0;pid_103493:1.0	true	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17543862
pid_103646	pid_103647	pid_103567	pid_103650;pid_103651	BiochemicalReaction	pid_103567:1.0;pid_103647:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11350965;Pubmed:11856369;Pubmed:12082625;Pubmed:16222244
pid_104457	pid_104458	pid_104459	pid_104464	BiochemicalReaction	pid_104458:1.0;pid_104459:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:8113807
pid_104482	pid_104483	pid_104486	None	Transport	pid_104483:1.0;pid_104486:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15034585;Pubmed:15569714;Pubmed:16515543;Pubmed:17481398
pid_104507	pid_25011;pid_3114	pid_104508;pid_3119	pid_104516	BiochemicalReaction	pid_104508:1.0;pid_25011:1.0;pid_3114:1.0;pid_3119:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280;Pubmed:16176974
pid_104521	None	None	pid_104522	BiochemicalReaction	None	true	None	None	Pubmed:15226396;Pubmed:8707857;Pubmed:9786960
pid_104529	pid_104530	pid_104458;pid_11799	pid_104534	BiochemicalReaction	pid_104458:1.0;pid_104530:1.0;pid_11799:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:9052794
pid_104539	pid_27974;pid_3114	pid_104540;pid_3119	pid_104547;pid_104548	BiochemicalReaction	pid_104540:1.0;pid_27974:1.0;pid_3114:1.0;pid_3119:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12213839;Pubmed:17459003
pid_104553	pid_30737	pid_104554	pid_104557	BiochemicalReaction	pid_104554:1.0;pid_30737:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:11228159;Pubmed:15247242
pid_104590	pid_14275	pid_28129	pid_104593	BiochemicalReaction	pid_14275:1.0;pid_28129:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:14657280
pid_104595	pid_25011;pid_3114	pid_27808;pid_3119	pid_104600	BiochemicalReaction	pid_25011:1.0;pid_27808:1.0;pid_3114:1.0;pid_3119:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280
pid_104611	pid_52330	pid_41339	pid_104614	BiochemicalReaction	pid_41339:1.0;pid_52330:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104618	pid_9053	pid_104535	pid_104621	BiochemicalReaction	pid_104535:1.0;pid_9053:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:9052794
pid_104626	pid_104627	pid_39767	pid_104631	BiochemicalReaction	pid_104627:1.0;pid_39767:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:7599959
pid_104634	pid_9302	pid_104635	pid_104638	BiochemicalReaction	pid_104635:1.0;pid_9302:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:12377785;Pubmed:15226396;Pubmed:16176974;Pubmed:9786960
pid_104641	pid_9145	pid_104642	pid_104645;pid_104654	BiochemicalReaction	pid_104642:1.0;pid_9145:1.0	null	None	None	Pubmed:19047464
pid_104656	pid_104657;pid_12062	pid_26344	pid_104665	BiochemicalReaction	pid_104657:1.0;pid_12062:1.0;pid_26344:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:12604612;Pubmed:2762814;Pubmed:3780667;Pubmed:9655503
pid_104672	pid_104673	pid_104615	pid_104676	BiochemicalReaction	pid_104615:1.0;pid_104673:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104685	pid_9522	pid_9525	pid_104688	BiochemicalReaction	pid_9522:1.0;pid_9525:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839
pid_104693	pid_104657;pid_369;pid_48362	pid_104694	None	ComplexAssembly	pid_104657:1.0;pid_104694:1.0;pid_369:1.0;pid_48362:1.0	true	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:19075000
pid_104708	pid_104709	pid_104712	pid_104716	BiochemicalReaction	pid_104709:1.0;pid_104712:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12578907
pid_104730	pid_104731	pid_104725	None	Transport	pid_104725:1.0;pid_104731:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12640032;Pubmed:15662031;Pubmed:17289573
pid_104749	pid_104750	pid_104751	pid_104755	BiochemicalReaction	pid_104750:1.0;pid_104751:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8113807
pid_104763	pid_104764	pid_104673	None	Transport	pid_104673:1.0;pid_104764:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17538019
pid_104788	pid_33490	pid_71235	pid_104791	BiochemicalReaction	pid_33490:1.0;pid_71235:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17459003
pid_104794	pid_21533	pid_104523	pid_104797	BiochemicalReaction	pid_104523:1.0;pid_21533:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:11106648;Pubmed:12377785;Pubmed:15226396;Pubmed:9786960
pid_104801	pid_59691	pid_104622	pid_104804;pid_104805	BiochemicalReaction	pid_104622:1.0;pid_59691:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11238727;Pubmed:11571292;Pubmed:17005551;Pubmed:19162191;Pubmed:8050374;Pubmed:9052794
pid_104813	pid_104814;pid_8548	pid_8545	None	ComplexAssembly	pid_104814:1.0;pid_8545:1.0;pid_8548:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:9545083;Pubmed:9852580
pid_104822	pid_104823	pid_104829;pid_8548	pid_104834	ComplexAssembly	pid_104823:1.0;pid_104829:1.0;pid_8548:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:9852580
pid_104837	pid_104838	pid_33467	pid_104842	BiochemicalReaction	pid_104838:1.0;pid_33467:1.0	null	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17459003
pid_104844	pid_3114;pid_36256	pid_3119;pid_36212	pid_104849;pid_104850	BiochemicalReaction	pid_3114:1.0;pid_3119:1.0;pid_36212:1.0;pid_36256:1.0	true	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839;Pubmed:17459003
pid_104860	pid_27986	pid_27989	None	Transport	pid_27986:1.0;pid_27989:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:15383621;Pubmed:16176974
