#id	controllingElements	controlledElements	controlType	catalysisdir	evidence	xref
pid_102306	pid_102307	pid_102295	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9628874
pid_102321	pid_13890	pid_102315	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12138194
pid_102329	pid_13890	pid_102325	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:7535770;Pubmed:7737130;Pubmed:7839144
pid_102337	pid_102338	pid_102334	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:7737130
pid_102354	pid_13890	pid_102345	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10362538
pid_102375	pid_102376	pid_102371	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11909979;Pubmed:9687510;Pubmed:9792677
pid_102400	pid_13890	pid_102390	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:9130707
pid_102456	pid_13890	pid_102445	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:11741533
pid_102481	pid_13890	pid_102480	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:9647257
pid_102513	pid_102465	pid_102507	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:9155017
pid_102524	pid_102465	pid_102515	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10978317;Pubmed:8910365;Pubmed:9468497
pid_102534	pid_13890	pid_102530	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:9687510;Pubmed:9792677;Pubmed:9873047
pid_102543	pid_13890	pid_102539	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10212189
pid_102576	pid_13890	pid_102567	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11532965
pid_102584	pid_13890	pid_102580	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9628874
pid_102595	pid_13890	pid_102586	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10362538
pid_102601	pid_13890	pid_102597	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11239470
pid_102609	pid_102376	pid_102603	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11777913
pid_102621	pid_13890	pid_102613	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:9685422
pid_102629	pid_102555	pid_102626	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10747897
pid_102632	pid_13890	pid_102631	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9582321
pid_102642	pid_13890	pid_102635	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:8650547
pid_102655	pid_13890	pid_102645	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9069290;Pubmed:9858528
pid_102668	pid_13890	pid_102658	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11604491;Pubmed:9776729
pid_102679	pid_13890	pid_102673	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11792706
pid_102690	pid_102376	pid_102683	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11909979;Pubmed:9687510
pid_102703	pid_13890	pid_102693	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9858528
pid_103130	pid_93151	pid_103107	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12689593;Pubmed:15796717;Pubmed:15854913
pid_103131	pid_103132	pid_103107	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12689593;Pubmed:15796717;Pubmed:15854913
pid_103191	pid_84221	pid_103176	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103192	pid_86642	pid_103176	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103200	pid_103119	pid_103197	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12689593
pid_103205	pid_103119	pid_103203	ACTIVATION	None	None	Pubmed:15796717
pid_103206	pid_103207	pid_103203	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12686604
pid_103230	pid_84221	pid_103223	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:15350530
pid_103231	pid_86642	pid_103223	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:15350530
pid_103250	pid_103203	pid_103234	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-physical-interaction:ECO:0000021	Pubmed:16179162
pid_103270	pid_90940	pid_103255	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11516652;Pubmed:11756469;Pubmed:12419797;Pubmed:12925766;Pubmed:14667408;Pubmed:15249581;Pubmed:16916643;Pubmed:17457057;Pubmed:17483322
pid_103271	pid_103272	pid_103255	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11516652;Pubmed:11756469;Pubmed:12419797;Pubmed:12925766;Pubmed:14667408;Pubmed:15249581;Pubmed:16916643;Pubmed:17457057;Pubmed:17483322
pid_103276	pid_90842	pid_103255	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11516652;Pubmed:11756469;Pubmed:12419797;Pubmed:12925766;Pubmed:14667408;Pubmed:15249581;Pubmed:16916643;Pubmed:17457057;Pubmed:17483322
pid_103306	pid_103307	pid_5603	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14674694
pid_103353	pid_90940	pid_103317	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17356064
pid_103354	pid_86642	pid_103317	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:17356064
pid_103390	pid_90940	pid_103378	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:17322402
pid_103410	pid_93151	pid_103394	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16764853
pid_103449	pid_90940	pid_103435	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14960279;Pubmed:15064354
pid_103450	pid_103256	pid_103435	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14960279;Pubmed:15064354
pid_103461	pid_103203	pid_103456	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103462	pid_86642	pid_103456	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17215513
pid_103469	pid_28821	pid_103466	ACTIVATION	None	None	Pubmed:11756469
pid_103470	pid_103289	pid_103466	ACTIVATION	LEFT_TO_RIGHT	None	Pubmed:11756469
pid_103478	pid_84221	pid_103471	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:15064709
pid_103488	pid_93151	pid_103483	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:12458200
pid_103489	pid_86642	pid_103483	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:12458200
pid_103503	pid_103504	pid_103492	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17543862
pid_103510	pid_103504	pid_103507	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14605209;Pubmed:15263015
pid_103511	pid_103512	pid_103507	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14605209;Pubmed:15263015
pid_103522	pid_90940	pid_103519	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17389228
pid_103523	pid_16061	pid_103519	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:17389228
pid_103526	pid_103398	pid_103203	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16764853
pid_103537	pid_103538	pid_103529	ACTIVATION	LEFT_TO_RIGHT	inferred-from-sequence-orthology:ECO:00000060	Pubmed:16537398;Pubmed:17199039
pid_103555	pid_86642	pid_103552	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11756469;Pubmed:14667408
pid_103564	pid_28821	pid_103558	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16222244;Pubmed:16222246;Pubmed:16687578
pid_103565	pid_38611	pid_103558	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16222244;Pubmed:16222246;Pubmed:16687578
pid_103566	pid_103567	pid_103558	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16222244;Pubmed:16222246;Pubmed:16687578
pid_103580	pid_90940	pid_103577	ACTIVATION	None	None	None
pid_103589	pid_86642	pid_103581	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:17129782;Pubmed:17129783
pid_103596	pid_86637	pid_103593	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11756469;Pubmed:14667408
pid_103604	pid_103203	pid_103600	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12686604
pid_103605	pid_86642	pid_103600	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12686604
pid_103635	pid_84221	pid_103630	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-expression-pattern:ECO:0000008;inferred-from-physical-interaction:ECO:0000021	Pubmed:15316025;Pubmed:15499654
pid_103644	pid_90940	pid_103641	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:17543862
pid_103650	pid_84221	pid_103646	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11350965;Pubmed:11856369;Pubmed:12082625;Pubmed:16222244
pid_103651	pid_86642	pid_103646	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11350965;Pubmed:11856369;Pubmed:12082625;Pubmed:16222244
pid_104464	pid_104465	pid_104457	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:8113807
pid_104478	pid_41339	pid_28100	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104489	pid_26924	pid_104482	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15034585;Pubmed:15569714;Pubmed:16515543;Pubmed:17481398
pid_104499	pid_26924	pid_104497	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15569714;Pubmed:16515543;Pubmed:17481398;Pubmed:7962102;Pubmed:8816706;Pubmed:8909549;Pubmed:9712659
pid_104516	pid_26924	pid_104507	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280;Pubmed:16176974
pid_104522	pid_104523	pid_104521	INHIBITION	None	None	Pubmed:15226396;Pubmed:8707857;Pubmed:9786960
pid_104525	pid_26924	pid_53620	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15809310
pid_104534	pid_104535	pid_104529	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:9052794
pid_104547	pid_28251	pid_104539	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12213839;Pubmed:17459003
pid_104548	pid_26924	pid_104539	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12213839;Pubmed:17459003
pid_104557	pid_104558	pid_104553	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:11228159;Pubmed:15247242
pid_104564	pid_26924	pid_104562	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:16807326
pid_104568	pid_41339	pid_65850	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104573	pid_26924	pid_104571	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11056534
pid_104577	pid_104578	pid_28100	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:15383621;Pubmed:16176974
pid_104582	pid_33467	pid_41367	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:12213839;Pubmed:17459003;Pubmed:17765222
pid_104587	pid_26924	pid_104585	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:16807326
pid_104593	pid_26924	pid_104590	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:14657280
pid_104600	pid_28129	pid_104595	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280
pid_104603	pid_39767	pid_26879	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:7599959
pid_104607	pid_104486	pid_104497	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15034585;Pubmed:15569714;Pubmed:16515543;Pubmed:17481398
pid_104614	pid_104615	pid_104611	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104621	pid_104622	pid_104618	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8050374;Pubmed:9052794
pid_104631	pid_8545	pid_104626	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:7599959
pid_104638	pid_26924	pid_104634	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:12377785;Pubmed:15226396;Pubmed:16176974;Pubmed:9786960
pid_104645	pid_104646	pid_104641	ACTIVATION	LEFT_TO_RIGHT	None	Pubmed:19047464
pid_104654	pid_104635	pid_104641	ACTIVATION	LEFT_TO_RIGHT	None	Pubmed:19047464
pid_104665	pid_28001	pid_104656	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:12604612;Pubmed:2762814;Pubmed:3780667;Pubmed:9655503
pid_104676	pid_27808	pid_104672	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17538019
pid_104680	pid_26924	pid_104678	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:15569714;Pubmed:9655504
pid_104688	pid_36212	pid_104685	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839
pid_104716	pid_104459	pid_104708	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12578907
pid_104720	pid_104508	pid_28100	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280
pid_104724	pid_104725	pid_104722	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12640032;Pubmed:17289573
pid_104734	pid_104735	pid_104730	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12640032;Pubmed:15662031;Pubmed:17289573
pid_104737	pid_26924	pid_104730	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12640032;Pubmed:15662031;Pubmed:17289573
pid_104738	pid_104739	pid_104730	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12640032;Pubmed:15662031;Pubmed:17289573
pid_104742	pid_104743	pid_104730	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:12640032;Pubmed:15662031;Pubmed:17289573
pid_104755	pid_104712	pid_104749	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:8113807
pid_104760	pid_9525	pid_104758	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839
pid_104767	pid_26924	pid_104763	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:17538019
pid_104772	pid_26924	pid_104770	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:15716354;Pubmed:17765222
pid_104777	pid_26924	pid_104775	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11086998;Pubmed:9655504
pid_104781	pid_27808	pid_27722	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14657280
pid_104785	pid_104694	pid_104783	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:19075000
pid_104791	pid_104540	pid_104788	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:17459003
pid_104797	pid_104635	pid_104794	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:11106648;Pubmed:12377785;Pubmed:15226396;Pubmed:9786960
pid_104804	pid_40417	pid_104801	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11238727;Pubmed:11571292;Pubmed:17005551;Pubmed:19162191;Pubmed:8050374;Pubmed:9052794
pid_104805	pid_26924	pid_104801	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:11238727;Pubmed:11571292;Pubmed:17005551;Pubmed:19162191;Pubmed:8050374;Pubmed:9052794
pid_104834	pid_104814	pid_104822	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:9852580
pid_104842	pid_71235	pid_104837	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:17459003
pid_104849	pid_28251	pid_104844	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839;Pubmed:17459003
pid_104850	pid_26924	pid_104844	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10930450;Pubmed:12213839;Pubmed:17459003
pid_104856	pid_26924	pid_104854	ACTIVATION	None	inferred-from-sequence-orthology:ECO:00000060	Pubmed:15662031;Pubmed:16228908;Pubmed:17921113
pid_104863	pid_27808	pid_104860	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:15383621;Pubmed:16176974
pid_104865	pid_104554	pid_65850	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:11228159;Pubmed:15247242
pid_104870	pid_104635	pid_104867	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16176974
